scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_baseline,expected_proposed,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,19,baseline-20260814T012845Z,A03-r019,200,allow,allow,true,16.824100,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,20,baseline-20260814T012845Z,A03-r020,200,allow,allow,true,16.967600,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,21,baseline-20260814T012845Z,A03-r021,200,allow,allow,true,15.979300,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,22,baseline-20260814T012845Z,A03-r022,200,allow,allow,true,15.584100,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,23,baseline-20260814T012845Z,A03-r023,200,allow,allow,true,19.349000,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,24,baseline-20260814T012845Z,A03-r024,200,allow,allow,true,19.156600,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,25,baseline-20260814T012845Z,A03-r025,200,allow,allow,true,15.542300,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,26,baseline-20260814T012845Z,A03-r026,200,allow,allow,true,16.036700,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,27,baseline-20260814T012845Z,A03-r027,200,allow,allow,true,14.933900,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,28,baseline-20260814T012845Z,A03-r028,200,allow,allow,true,15.363500,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,29,baseline-20260814T012845Z,A03-r029,200,allow,allow,true,15.804300,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,30,baseline-20260814T012845Z,A03-r030,200,allow,allow,true,14.786000,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,baseline,1,baseline-20260814T012845Z,A04-r001,200,allow,allow,true,18.188600,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,baseline,2,baseline-20260814T012845Z,A04-r002,200,allow,allow,true,15.789000,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,baseline,3,baseline-20260814T012845Z,A04-r003,200,allow,allow,true,15.714700,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,baseline,4,baseline-20260814T012845Z,A04-r004,200,allow,allow,true,15.646700,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,baseline,5,baseline-20260814T012845Z,A04-r005,200,allow,allow,true,15.822900,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,baseline,6,baseline-20260814T012845Z,A04-r006,200,allow,allow,true,15.889800,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,baseline,7,baseline-20260814T012845Z,A04-r007,200,allow,allow,true,15.894000,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,baseline,8,baseline-20260814T012845Z,A04-r008,200,allow,allow,true,16.020600,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,baseline,9,baseline-20260814T012845Z,A04-r009,200,allow,allow,true,16.064500,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,baseline,10,baseline-20260814T012845Z,A04-r010,200,allow,allow,true,16.867100,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,baseline,11,baseline-20260814T012845Z,A04-r011,200,allow,allow,true,15.789900,
